rank,model,family,status,MAE,RMSE,MAPE,MAPE_coverage,SMAPE,fit_seconds
1,catboost,ml,ok,1.6629329074770525,2.5405954286929804,63.48374000025811,0.8618055555555555,71.98917069311564,4.96
2,random_forest,ml,ok,1.6866493868505787,2.564798731904564,64.27902922120285,0.8618055555555555,72.5049910115683,14.75
3,prophet,advanced,ok,1.6994944350271268,2.5773299135772785,65.15384287997783,0.8618055555555555,73.05511568404728,2.6399999999999997
4,ets,statistical,ok,1.7088660833803169,2.5729545983580158,67.19183558056142,0.8618055555555555,72.78134934860952,0.395
5,moving_average,baseline,ok,1.7372974537037038,2.604926467288217,68.82644688153522,0.8618055555555555,73.77340811982168,0.0
6,lightgbm,ml,ok,1.7546034475787902,2.590353874840857,70.85382241682228,0.8618055555555555,73.7844286702161,6.805
7,xgboost,ml,ok,1.8287376118616927,2.653725096568413,75.63247335840589,0.8618055555555555,74.30371481564754,1.79
8,naive,baseline,ok,2.2743055555555554,3.5250136028195804,94.70471980561342,0.8618055555555555,93.44215327172512,0.0
9,seasonal_naive,baseline,ok,2.3027777777777776,3.572751654598417,94.43720506738833,0.8618055555555555,92.28526899027563,0.0
