rank,model,family,status,Accuracy,Precision,Recall,F1,ROC_AUC,LogLoss,Brier,PositiveRate,fit_seconds
1,xgboost,ml,ok,0.8339899394586895,0.8435489372135477,0.8416868348285722,0.8426146779350927,0.9145204011855437,0.3640655093551519,0.11717066127751441,0.5283344259906759,8.95
2,lightgbm,ml,ok,0.832347108909609,0.8431150470079323,0.8387144280351335,0.8408717354097925,0.9108823836556512,0.37043596124240974,0.11968572851062256,0.5283344259906759,11.4
3,persistence,baseline,ok,0.773482218013468,0.9170501344395727,0.6280585297567662,0.7455222185003334,0.7821743080860004,0.505192080367912,0.16637839578435643,0.5283344259906759,0.0
4,prior_rate,baseline,ok,0.471665574009324,0.0,0.0,0.0,0.5,0.7041030469615291,0.25545458778584385,0.5283344259906759,0.0
